                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0128,                0.78518,                 1.0949,                0.75801,                0.75351,                0.84515,                0.63659,                0.82799,                0.66406,                 1.0149,             0.00018789,             0.00018789,             0.00018789
                     36,                 1.0068,                0.84619,                 1.1165,                0.75801,                0.75351,                0.84515,                0.63659,                0.82799,                0.66406,                 1.0149,             0.00019053,             0.00019053,             0.00019053
                     37,                0.87124,                0.69075,                 1.0523,                0.75692,                0.71696,                0.84405,                0.64555,                0.77591,                0.61508,                0.99112,               0.000193,               0.000193,               0.000193
                     38,                0.96133,                 0.6771,                 1.0423,                0.75692,                0.71696,                0.84405,                0.64555,                0.77591,                0.61508,                0.99112,             0.00019531,             0.00019531,             0.00019531
                     39,                0.89312,                0.68623,                 1.0289,                0.76625,                0.70572,                0.83854,                 0.6325,                0.75284,                0.58754,                0.98083,             0.00019746,             0.00019746,             0.00019746
                     40,                  1.045,                0.71118,                 1.0611,                0.76625,                0.70572,                0.83854,                 0.6325,                0.75284,                0.58754,                0.98083,             0.00019944,             0.00019944,             0.00019944
                     41,                0.82153,                0.66941,                 1.0423,                0.77823,                0.75301,                0.82518,                0.61838,                0.74011,                0.56258,                  0.979,             0.00020125,             0.00020125,             0.00020125
                     42,                0.86906,                0.68804,                 1.0131,                0.77823,                0.75301,                0.82518,                0.61838,                0.74011,                0.56258,                  0.979,              0.0002029,              0.0002029,              0.0002029
                     43,                0.88877,                0.67641,                 1.0757,                0.76889,                   0.76,                0.82866,                0.61622,                0.72282,                0.54474,                0.97417,             0.00020439,             0.00020439,             0.00020439
                     44,                0.84371,                0.66422,                 1.0608,                0.76889,                   0.76,                0.82866,                0.61622,                0.72282,                0.54474,                0.97417,             0.00020571,             0.00020571,             0.00020571
                     45,                0.85726,                0.61031,                 1.0241,                0.66893,                    0.8,                0.82518,                0.60635,                  0.726,                0.52909,                 0.9705,             0.00020686,             0.00020686,             0.00020686
                     46,                0.86719,                0.66745,                0.99949,                0.66893,                    0.8,                0.82518,                0.60635,                  0.726,                0.52909,                 0.9705,             0.00020785,             0.00020785,             0.00020785
                     47,                0.96504,                0.64382,                 1.0429,                 0.7007,                0.81473,                0.83716,                0.61353,                0.73564,                0.52416,                0.96761,             0.00020868,             0.00020868,             0.00020868
                     48,                0.98324,                0.67407,                 1.0635,                 0.7007,                0.81473,                0.83716,                0.61353,                0.73564,                0.52416,                0.96761,             0.00020934,             0.00020934,             0.00020934
                     49,                 1.0577,                  0.719,                  1.146,                0.70254,                    0.8,                0.77837,                0.60229,                0.74614,                0.52722,                0.96724,             0.00020984,             0.00020984,             0.00020984
                     50,                 1.0072,                0.73169,                 1.1013,                0.70254,                    0.8,                0.77837,                0.60229,                0.74614,                0.52722,                0.96724,             0.00021017,             0.00021017,             0.00021017
                     51,                0.97662,                0.66508,                 1.0347,                0.70781,                   0.84,                0.84827,                0.60651,                 0.7575,                 0.5324,                0.97306,             0.00021033,             0.00021033,             0.00021033
                     52,                0.83188,                0.60135,                0.99028,                0.70781,                   0.84,                0.84827,                0.60651,                 0.7575,                 0.5324,                0.97306,             0.00021033,             0.00021033,             0.00021033
                     53,                0.83945,                0.57954,                 1.0119,                0.70781,                   0.84,                0.84827,                0.60651,                 0.7575,                 0.5324,                0.97306,             0.00021017,             0.00021017,             0.00021017
                     54,                0.81412,                0.65302,                 1.0165,                0.70763,                   0.84,                0.84758,                0.60849,                0.75928,                0.52538,                0.97866,             0.00020984,             0.00020984,             0.00020984
                     55,                0.83843,                0.62148,                 1.0465,                0.70763,                   0.84,                0.84758,                0.60849,                0.75928,                0.52538,                0.97866,             0.00020935,             0.00020935,             0.00020935
                     56,                0.95553,                0.66737,                 1.0622,                0.70763,                   0.84,                0.84758,                0.60849,                0.75928,                0.52538,                0.97866,             0.00020869,             0.00020869,             0.00020869
                     57,                0.86692,                0.63213,                 1.0507,                0.72262,                0.85871,                0.84937,                0.61568,                0.74081,                0.51788,                0.97322,             0.00020786,             0.00020786,             0.00020786
                     58,                0.89563,                0.60064,                 1.0059,                0.72262,                0.85871,                0.84937,                0.61568,                0.74081,                0.51788,                0.97322,             0.00020687,             0.00020687,             0.00020687
                     59,                0.91077,                0.61779,                 1.0539,                0.72262,                0.85871,                0.84937,                0.61568,                0.74081,                0.51788,                0.97322,             0.00020572,             0.00020572,             0.00020572
                     60,                0.90967,                0.59999,                 1.0372,                0.70491,                   0.88,                0.84926,                 0.6193,                0.71381,                0.51204,                0.96187,              0.0002044,              0.0002044,              0.0002044
                     61,                0.93299,                0.61663,                 1.0507,                0.70491,                   0.88,                0.84926,                 0.6193,                0.71381,                0.51204,                0.96187,             0.00020292,             0.00020292,             0.00020292
                     62,                0.77188,                0.53897,                0.97918,                0.70491,                   0.88,                0.84926,                 0.6193,                0.71381,                0.51204,                0.96187,             0.00020127,             0.00020127,             0.00020127
                     63,                0.83601,                 0.5964,                 1.0569,                0.69045,                0.90583,                0.85095,                0.63124,                0.71393,                0.49788,                0.96221,             0.00019946,             0.00019946,             0.00019946
                     64,                0.96967,                0.74707,                 1.0613,                0.69045,                0.90583,                0.85095,                0.63124,                0.71393,                0.49788,                0.96221,             0.00019748,             0.00019748,             0.00019748
                     65,                0.85994,                0.58748,                 1.0107,                0.69045,                0.90583,                0.85095,                0.63124,                0.71393,                0.49788,                0.96221,             0.00019534,             0.00019534,             0.00019534
                     66,                0.80524,                0.58234,                 1.0191,                0.68769,                   0.92,                0.87335,                0.64778,                0.74551,                0.49524,                0.97843,             0.00019303,             0.00019303,             0.00019303
                     67,                0.78214,                 0.5924,                 1.0061,                0.68769,                   0.92,                0.87335,                0.64778,                0.74551,                0.49524,                0.97843,             0.00019055,             0.00019055,             0.00019055
                     68,                0.86163,                0.56286,                 1.0417,                0.68769,                   0.92,                0.87335,                0.64778,                0.74551,                0.49524,                0.97843,             0.00018792,             0.00018792,             0.00018792
                     69,                0.98429,                0.61688,                 1.0335,                0.70218,                0.90977,                0.88065,                 0.6462,                0.75178,                0.49355,                0.98767,             0.00018511,             0.00018511,             0.00018511
                     70,                0.87577,                0.60844,                 1.0225,                0.70218,                0.90977,                0.88065,                 0.6462,                0.75178,                0.49355,                0.98767,             0.00018214,             0.00018214,             0.00018214
                     71,                0.96534,                0.68073,                 1.0586,                0.70218,                0.90977,                0.88065,                 0.6462,                0.75178,                0.49355,                0.98767,             0.00017901,             0.00017901,             0.00017901
                     72,                  1.015,                0.84612,                 1.1815,                0.69487,                   0.88,                0.88327,                0.66017,                0.73872,                0.48932,                 0.9884,             0.00017571,             0.00017571,             0.00017571
                     73,                0.89961,                0.63342,                 1.0074,                0.69487,                   0.88,                0.88327,                0.66017,                0.73872,                0.48932,                 0.9884,             0.00017225,             0.00017225,             0.00017225
                     74,                0.80938,                0.54044,                 1.0088,                0.69487,                   0.88,                0.88327,                0.66017,                0.73872,                0.48932,                 0.9884,             0.00016862,             0.00016862,             0.00016862
                     75,                0.85132,                0.60126,                 1.0223,                0.70867,                   0.88,                0.89925,                0.68211,                0.70802,                 0.4788,                0.97806,             0.00016483,             0.00016483,             0.00016483
                     76,                0.92138,                  0.592,                 1.0303,                0.70867,                   0.88,                0.89925,                0.68211,                0.70802,                 0.4788,                0.97806,             0.00016087,             0.00016087,             0.00016087
                     77,                0.83455,                0.57296,                  1.015,                0.70867,                   0.88,                0.89925,                0.68211,                0.70802,                 0.4788,                0.97806,             0.00015675,             0.00015675,             0.00015675
                     78,                0.87692,                 0.5882,                 1.0574,                0.77716,                0.83919,                0.90821,                0.70577,                0.68371,                0.46997,                0.96438,             0.00015246,             0.00015246,             0.00015246
                     79,                0.79725,                0.55754,                0.98655,                0.77716,                0.83919,                0.90821,                0.70577,                0.68371,                0.46997,                0.96438,             0.00014801,             0.00014801,             0.00014801
                     80,                0.85674,                0.58987,                0.99535,                0.77716,                0.83919,                0.90821,                0.70577,                0.68371,                0.46997,                0.96438,             0.00014339,             0.00014339,             0.00014339
